lor_plr,lor_plr_name,fahrraddiebstaehle_2015,fahrraddiebstaehle_2016,fahrraddiebstaehle_2017
08041039,Frauenviertel,11,7,9
08041040,Waltersdorfer Chaussee Ost,25,29,16
09010101,Elsenstraße,181,200,150
09010102,Am Treptower Park Nord,84,94,98
09010201,Am Treptower Park Süd,34,62,71
09010202,Köpenicker Landstraße,16,28,19
09010301,Baumschulenstraße,95,141,131
09010302,Späthsfelde,1,5,4
09010401,Johannisthal West,34,67,37
09010402,Johannisthal Ost,33,70,49
09020501,Oberschöneweide West,30,56,44
09020502,Oberschöneweide Ost,62,143,74
09020601,Schnellerstraße,97,119,118
09020602,Oberspree,12,28,17
09020701,Adlershof West,95,126,106
09020702,Adlershof Ost,82,135,84
09020801,Spindlersfeld,31,46,20
09020802,Köllnische Vorstadt,31,23,19
09030901,Dorf Altglienicke,45,38,47
09030902,Wohngebiet II,10,15,10
09030903,Kölner Viertel,18,17,20
09031001,Bohnsdorf,36,54,34
09031101,Grünau,56,68,30
09031201,Karolinenhof,na,3,na
09031202,Schmöckwitz/Rauchfangswerder,6,6,9
09041301,Kietzer Feld/Nachtheide,58,79,28
09041302,Wendenschloß,7,4,3
09041401,Allende I,25,15,17
09041402,Allende II,18,1,na
09041501,Altstadt Kietz,43,69,39
09041601,Müggelheim,7,9,6
09051701,Hirschgarten,26,23,8
09051702,Bölschestraße,203,227,162
09051801,Rahnsdorf/Hessenwinkel,94,142,69
09051901,Dammvorstadt,109,141,93
09052001,Köpenick Nord,86,108,54
10010101,Marzahn West,35,31,36
10010102,Havemannstraße,22,20,26
10010203,Gewerbegebiet Bitterfelder Straße,11,6,6
10010204,Wuhletalstraße,11,15,7
10010205,Marzahn Ost,11,16,19
10010206,Ringkolonnaden,15,25,23
10010207,Marzahner Promenade,28,24,11
10010308,Marzahner Chaussee,19,10,17
10010309,Springpfuhl,21,36,27
10010310,Alt-Marzahn,16,27,17
10010311,Landsberger Tor,4,3,2
10020412,Alte Hellersdorfer Straße,8,18,12
10020413,Gut Hellersdorf,31,24,31
10020414,Helle Mitte,13,12,17
10020415,Hellersdorfer Promenade,6,8,5
10020416,Böhlener Straße,12,11,8
10020517,Adele-Sandrock-Straße,47,47,64
10020518,Schleipfuhl,4,12,12
10020519,Boulevard Kastanienallee,10,14,10
10020620,Kaulsdorf Nord II,2,2,5
10020621,Gelbes Viertel,9,9,13
10020622,Kaulsdorf Nord I,21,22,14
10020623,Rotes Viertel,10,13,12
10030724,Oberfeldstraße,74,48,24
10030725,Buckower Ring,13,17,23
10030726,Alt-Biesdorf,31,40,49
10030727,Biesdorf Süd,48,64,57
10040828,Kaulsdorf Nord,16,13,14
10040829,Alt-Kaulsdorf,61,66,71
10040830,Kaulsdorf Süd,11,8,9
10040931,Mahlsdorf Nord,17,16,12
10040932,Alt-Mahlsdorf,76,71,56
10040933,Mahlsdorf Süd,27,32,26
11010101,Dorf Malchow,2,1,2
11010102,Dorf Wartenberg,5,6,6
11010103,Dorf Falkenberg,10,6,3
11010204,Falkenberg Ost,8,21,19
11010205,Falkenberg West,16,17,20
11010206,Wartenberg Süd,16,13,16
11010207,Wartenberg Nord,19,10,14
11010308,Zingster Straße Ost,36,27,41
11010309,Zingster Straße West,11,13,36
11010310,Mühlengrund,15,13,11
11020411,Malchower Weg,29,21,19
11020412,Hauptstraße,30,30,33
11020513,Orankesee,33,14,32
11020514,Große-Leege-Straße,42,59,37
11020515,Landsberger Allee,51,41,36
11020516,Weiße Taube,13,13,10
11030617,Hohenschönhausener Straße,25,22,23
11030618,Fennpfuhl West,117,98,80
11030619,Fennpfuhl Ost,52,67,25
11030720,Herzbergstraße,31,20,25
11030721,Rüdigerstraße,229,209,171
11030824,Frankfurter Allee Süd,107,135,88
11040925,Victoriastadt,93,92,80
11040926,Weitlingstraße,194,221,163
11041022,Rosenfelder Ring,21,23,5
11041023,Gensinger Straße,7,14,8
11041027,Tierpark,16,29,21
11041128,Sewanstraße,99,88,90
11051229,Rummelsburg,33,77,54
11051330,Karlshorst West,46,66,87
11051331,Karlshorst Nord,56,78,65
11051332,Karlshorst Süd,107,121,89
12103115,Breitkopfbecken,24,28,56
12103116,Hausotterplatz,51,43,61
12103117,Letteplatz,18,48,44
12103218,Teichstraße,65,87,63
12103219,Schäfersee,34,21,22
12103220,Humboldtstraße,24,18,14
12214125,Waldidyll/Flughafensee,19,24,26
12214126,Tegel Süd,10,27,13
12214421,Reinickes Hof,13,14,7
12214422,Klixstraße,17,10,15
12214423,Mellerbogen,15,19,17
12214424,Scharnweberstraße,38,28,22
12214527,Alt-Tegel,92,89,60
12214528,Tegeler Forst,2,3,3
12224229,Konradshöhe/Tegelort,10,4,4
12224230,Heiligensee,65,58,32
12231101,Hermsdorf,100,131,96
12231102,Frohnau,80,108,94
12301203,Wittenau Süd,49,45,41
12301204,Wittenau Nord,48,41,31
12301205,Waidmannslust,34,29,14
12301206,Lübars,13,7,8
12302107,Schorfheidestraße,4,4,5
12302108,Märkisches Zentrum,39,43,29
12302109,Treuenbrietzener Straße,19,13,19
12302110,Dannenwalder Weg,16,6,10
12302211,Lübarser Straße,6,4,4
12302212,Rollbergesiedlung,13,10,9
12304313,Borsigwalde,16,27,24
12304314,Ziekowstraße/Freie Scholle,21,36,49
