"","X.1","X","street1","accidents","lon","lat"
"703",3190,3190,"SIMPLONSTR.",1,13.4619595,52.5067597
"704",3191,3191,"SIMPLONSTR. / WÜHLISCHSTR.",1,13.4619595,52.5067597
"705",3192,3192,"SITZENDORFER STR. / BLUMBERGER DAMM",1,13.5756539,52.5581282
"706",3193,3193,"SKALITZER STR.",9,13.4281934,52.4993564
"707",3194,3194,"SKALITZER STR. / SPREEWALDPLATZ",1,13.4311356,52.4992187
"708",3195,3195,"SKALITZER STR. / ZEUGHOFSTR.",2,13.4331829,52.4996597
"709",3196,3196,"SMETANASTR. / BERLINER ALLEE",1,13.4584221,52.5498416
"710",3197,3197,"SOLDINER STR.",1,13.3854772,52.5589144
"711",3198,3198,"SOLMSSTR.",2,13.3927337,52.4919117
"712",3199,3199,"SOMMERSTR.",2,13.374344,52.574801
"713",3200,3200,"SONNENALLEE",30,13.4535813,52.4749501
"714",3201,3201,"SONNENALLEE / BAUMSCHULENSTR. / HEIDEKAMPWEG / SÜDOSTALLEE",3,13.4813635,52.46088
"715",3202,3202,"SONNENBURGER STR.",1,13.4075696,52.5477614
"716",3203,3203,"SOPHIE-CHARLOTTEN-STR.",3,13.286792,52.518816
"717",3204,3204,"SOPHIE-CHARLOTTEN-STR. / SPANDAUER DAMM",2,13.2866564,52.5188217
"718",3205,3205,"SOPHIENSTR.",1,13.4008612,52.5256474
"719",3206,3206,"SORAUER STR. / WRANGELSTR.",1,13.4392487,52.4997024
"720",3207,3207,"SPANDAUER DAMM",7,13.2718062,52.5196581
"721",3208,3208,"SPANDAUER DAMM / A 100 BAB / SPANDAUER-DAMM-BRÜCKE / 100 AS SPANDAUER DAMM",1,13.2813792,52.5256289
"722",3209,3209,"SPANDAUER DAMM / WIESENDAMM",3,13.2474903,52.524541
"723",3210,3210,"SPANDAUER-SEE-BRÜCKE / SPANDAUER HAVELPROMENADE / POHLESEESTR.",1,13.2241305,52.5554137
"724",3211,3211,"SPANDAUER STR.",2,13.4056037,52.5194548
"725",3212,3212,"SPANDAUER STR. / RATHAUSSTR.",3,13.40718,52.5183035
"726",3213,3213,"SPANISCHE ALLEE",2,13.2066452,52.4340521
"727",3214,3214,"SPANISCHE ALLEE / A 115 BAB AUTOBAHNZUBRINGER MAGDEBG/LEIPZ (AVUS) / SPANISCHE A",1,12.3730747,51.3396955
"728",3215,3215,"SPÄTHSFELDER WEG",1,13.4789836,52.4480014
"729",3216,3216,"SPÄTHSTR.",4,13.4526559,52.4528577
"730",3217,3217,"SPEKTEWEG",1,13.1801659,52.5425806
"731",3218,3218,"SPINDLERSFELDER STR. / GLIENICKER STR.",2,13.5621366,52.437241
"732",3219,3219,"SPITZMÜHLER STR. / PÖHLBERGSTR. / BLUMBERGER DAMM",1,13.5741615,52.5441616
"733",3220,3220,"SPLANEMANNSTR. / SEWANSTR. / ERIESEERING",1,13.5210631,52.495066
"734",3221,3221,"SPORTPROMENADE",1,13.6142624,52.4066625
"735",3222,3222,"SPREMBERGER STR.",1,13.4232168,52.4936705
"736",3223,3223,"SPRENGELSTR.",1,13.3547773,52.5417528
"737",3224,3224,"SREDZKISTR.",5,13.4119199,52.5382229
