"","street1","accidents"
"920","DANZIGER STR. / EUGEN-SCHÖNHAAR-STR.",1
"921","DANZIGER STR. / GREIFSWALDER STR.",9
"922","DANZIGER STR. / HAGENAUER STR. / SCHLIEMANNSTR.",1
"923","DANZIGER STR. / HANS-OTTO-STR.",1
"924","DANZIGER STR. / KNAACKSTR. / LYCHENER STR.",1
"925","DANZIGER STR. / LANDSBERGER ALLEE / PETERSBURGER STR.",1
"926","DANZIGER STR. / PAUL-HEYSE-STR.",1
"927","DANZIGER STR. / PRENZLAUER ALLEE",12
"928","DANZIGER STR. / RUDI-ARNDT-STR.",1
"929","DANZIGER STR. / RYKESTR.",2
"930","DARMSTÄDTER STR. / SÄCHSISCHE STR.",1
"931","DARßER STR.",1
"932","DAUMSTR.",1
"933","DAUMSTR. / RHENANIASTR.",1
"934","DEDERINGSTR. / LANKWITZER STR. / ALTES GASWERK MARIENDORF",1
"935","DEGNERSTR.",1
"936","DEGNERSTR. / MALCHOWER WEG",1
"937","DEGNERSTR. / NIEHOFER STR.",1
"938","DEGNERSTR. / WALDOWSTR.",1
"939","DEIDESHEIMER STR. / LAUBACHER STR.",1
"940","DEITMERSTR. / SCHLOßSTR.",1
"941","DELBRÜCKSTR. / KARL-MARX-STR. / WALTERSTR.",1
"942","DELBRÜCKSTR. / KARLSBADER STR.",1
"943","DEMMINER STR.",2
"944","DEMMINER STR. / SWINEMÜNDER STR.",1
"945","DEMMINER STR. / USEDOMER STR. / BRUNNENSTR.",1
"946","DENNEWITZSTR.",1
"947","DENNEWITZSTR. / FLOTTWELLSTR. / POHLSTR.",1
"948","DERFFLINGERSTR. / KIELGANSTR. / KURFÜRSTENSTR.",1
"949","DERNBURGSTR. / HERBARTSTR.",1
"950","DERNBURGSTR. / NEUE KANTSTR. / WUNDTSTR.",1
"951","DESSAUERSTR.",1
"952","DESSAUERSTR. / SEYDLITZSTR.",1
"953","DEUTSCHMEISTERSTR. / MÖLLENDORFFSTR.",1
"954","DICKHARDTSTR.",1
"955","DICKHARDTSTR. / RHEINSTR. / ROENNEBERGSTR.",1
"956","DIEDENHOFENER STR. / KLOSTERSTR.",2
"957","DIEFFENBACHSTR.",1
"958","DIEFFENBACHSTR. / GRAEFESTR.",1
"959","DIEFFENBACHSTR. / GRIMMSTR. / GRIMMPARK",1
"960","DIELINGSGRUND / LICHTENRADER DAMM",1
"961","DIERHAGENER STR.",1
"962","DIESTERWEGSTR. / PRENZLAUER ALLEE / STARGARDER STR.",2
"963","DIETLINDESTR.",1
"964","DIETZGENSTR.",3
"965","DIETZGENSTR. / KASTANIENALLEE",1
"966","DIETZGENSTR. / SCHILLERSTR. / SCHÖNHAUSER STR.",1
"967","DIJONSTR. / SEDANSTR.",1
"968","DILLENBURGER STR. / LENTZEALLEE / SCHLANGENBADER STR.",1
"969","DILLGESSTR. / KAISER-WILHELM-STR. / DILLGESPARK",1
"970","DINGELSTÄDTER STR. / THEMARER STR. / LANDSBERGER ALLEE",1
"971","DIRCKSENSTR.",1
"972","DIRCKSENSTR. / GRUNERSTR.",2
"973","DIRCKSENSTR. / KARL-LIEBKNECHT-STR.",2
"974","DIRCKSENSTR. / ROCHSTR.",2
"975","DIRCKSENSTR. / ROSA-LUXEMBURG-STR.",2
"976","DITTERSBACHER WEG / KAMENZER DAMM / KGA ALT-LANKWITZ",1
"977","DOHNAGESTELL / SEESTR.",2
"978","DOLGENSEESTR.",1
"979","DOLGENSEESTR. / SEWANSTR.",1
"980","DOLOMITENSTR.",2
"981","DOLZIGER STR. / PETTENKOFERSTR.",1
"982","DOMINICUSSTR. / EBERSSTR.",2
"983","DOMINICUSSTR. / FEURIGSTR. / FRITZ-REUTER-STR.",1
"984","DOMINICUSSTR. / HAUPTSTR.",3
"985","DOMINICUSSTR. / MARTIN-LUTHER-STR.",2
"986","DONAUSTR. / ERKSTR.",4
"987","DONAUSTR. / GANGHOFERSTR.",1
"988","DONAUSTR. / WEICHSELSTR.",1
"989","DÖNHOFFSTR.",1
"990","DÖNHOFFSTR. / SANGEALLEE / WALLENSTEINSTR.",1
"991","DÖNHOFFSTR. / TRESKOWALLEE",1
"992","DORFSTR.",4
"993","DORFSTR. / LINDENBERGER STR.",2
"994","DORFSTR. / NEUBRANDENBURGER STR. / PRENDENER STR.",1
"995","DORFSTR. / WARTENBERGER WEG",1
"996","DORNACHER STR. / GARZINER PLATZ / STRAUBINGER STR.",1
"997","DOROTHEA-VIEHMANN-STR.",1
"998","DOROTHEENSTR.",4
"999","DOROTHEENSTR. / NEUSTÄDTISCHE KIRCHSTR.",2
"1000","DÖRPFELDSTR.",3
"1001","DÖRPFELDSTR. / ANNA-SEGHERS-STR.",1
"1002","DÖRPFELDSTR. / FLORIAN-GEYER-STR. / THOMAS-MÜNTZER-STR.",1
"1003","DÖRPFELDSTR. / HACKENBERGSTR.",1
"1004","DÖRPFELDSTR. / WALDSTR.",2
"1005","DÖRPFELDSTR. / ZINSGUTSTR.",1
"1006","DOVESTR.",1
"1007","DOVESTR. / SALZUFER / DOVEBRÜCKE",1
"1008","DRAKESTR.",6
"1009","DRAKESTR. / HABELSCHWERDTER ALLEE / UNTER DEN EICHEN",3
"1010","DREGERHOFFSTR.",2
"1011","DRESDENER STR.",3
"1012","DRESDENER STR. / ORANIENPLATZ",7
"1013","DRESDENER STR. / VERBINDUNGSWEG ZW. DRESDENER STR. U. HEINRICH-HE / HEINRICH-HEI",2
"1014","DREYSESTR. / RATHENOWER STR.",1
"1015","DRONTHEIMER STR.",2
"1016","DRONTHEIMER STR. / KOLONIESTR. / OSLOER STR.",6
"1017","DRONTHEIMER STR. / RITTERLANDWEG / SOLDINER STR. / PROVINZSTR.",1
"1018","DRÖPKEWEG",1
"1019","DROYSENSTR.",1
"1020","DROYSENSTR. / GERVINUSSTR. / WINDSCHEIDSTR.",1
"1021","DRUSENHEIMER WEG / ERNST-ARNDT-WEG",1
"1022","DÜBELPFAD",1
"1023","DUBLINER STR. / MÜLLERSTR.",1
"1024","DUDENSTR.",1
"1025","DUDENSTR. / EYLAUER STR.",1
"1026","DUDENSTR. / HÖHNDORFSTR.",1
"1027","DUDENSTR. / METHFESSELSTR. / MUSSEHLSTR.",1
"1028","DUNCKERSTR.",3
"1029","DUNCKERSTR. / ERICH-WEINERT-STR.",1
"1030","DUNCKERSTR. / RAUMERSTR.",2
"1031","DUNCKERSTR. / STARGARDER STR.",4
"1032","DUNCKERSTR. / WICHERTSTR.",1
"1033","DUNCKERSTR. / WISBYER STR.",3
"1034","DÜRERSTR.",1
"1035","DURLACHER STR. / PRINZREGENTENSTR.",2
"1036","DUSEKESTR.",1
"1037","EBERBACHER STR.",1
"1038","EBERSSTR.",1
"1039","EBERSSTR. / A 100 BAB / INNSBRUCKER PLATZ / 100 AS INNSBRUCKER (ÖSTL T) AUSF N I",2
"1040","EBERSSTR. / KÄRNTENER STR.",1
"1041","EBERSWALDER STR.",6
"1042","EBERSWALDER STR. / EBERSWALDER STR.",2
"1043","EBERSWALDER STR. / TOPSSTR.",2
"1044","EBERTSTR.",1
"1045","EBERTSTR. / BEHRENSTR.",3
"1046","EBERTSTR. / HANNAH-ARENDT-STR.",1
"1047","EBERTSTR. / HANS-VON-BÜLOW-STR. / VOßSTR.",1
"1048","EBERTSTR. / IN DEN MINISTERGÄRTEN",1
"1049","EBERTSTR. / POTSDAMER PLATZ / LEIPZIGER PLATZ",13
"1050","EBERTYSTR. / CONRAD-BLENKLE-STR. / LANDSBERGER ALLEE",4
"1051","EDELHOFDAMM",1
"1052","EDERSTR.",2
"1053","EDINBURGER STR.",1
"1054","EDINBURGER STR. / SCHÖNINGSTR.",1
"1055","EDISONSTR.",1
"1056","EDISONSTR. / GRIECHISCHE ALLEE / SIEMENSSTR.",1
"1057","EDWIN-C.-DILTZ-STR.",1
"1058","EGELPFUHLSTR.",1
"1059","EGESTORFFSTR.",1
"1060","EHRENBERGSTR. / HABELSCHWERDTER ALLEE",1
"1061","EHRENBERGSTR. / ROTHERSTR.",1
"1062","EHRENBERGSTR. / STRALAUER ALLEE",1
"1063","EHRENFELSSTR.",2
"1064","EHRENFELSSTR. / RHEINSTEINSTR. / TRESKOWALLEE",2
"1065","EHRENFELSSTR. / STOLZENFELSSTR. / VERLÄNGERTE WALDOWALLEE / WALDOWALLEE / WIESE",1
"1066","EHRENPREISWEG / ALT-RUDOW",1
"1067","EHRLICHSTR. / TRESKOWALLEE",1
"1068","EICHBERGSTR. / FRANKENBERGSTR.",1
"1069","EICHBUSCHALLEE",2
"1070","EICHENDORFFSTR.",1
"1071","EICHENDORFFSTR. / NOVALISSTR. / TIECKSTR.",1
"1072","EICHENSTR.",1
"1073","EICHENSTR. / TRESKOWSTR.",1
"1074","EICHHORNSTR. / POTSDAMER STR. / BEN-GURION-STR.",4
"1075","EICHHORSTER WEG / LÜBARSER STR.",1
"1076","EICHKAMPSTR.",1
"1077","EICHKAMPSTR. / KÖNIGSWEG / AUERBACHTUNNEL",2
"1078","EICHKAMPSTR. / SCHMETTERLINGSPLATZ",1
"1079","EICHKATZWEG / MAIKÄFERPFAD",1
"1080","EINBECKER STR.",1
"1081","EINBECKER STR. / LINCOLNSTR.",1
"1082","EINBECKER STR. / MARIE-CURIE-ALLEE",1
"1083","EINBECKER STR. / ROSENFELDER STR.",1
"1084","EINSIEDELRING / PASEWALKER STR.",1
"1085","EINSTEINUFER",1
"1086","EINSTEINUFER / MÜLLER-BRESLAU-STR. / STRAßE DES 17. JUNI / CHARLOTTENBURGER BRÜC",2
"1087","EISACKSTR. / RUBENSSTR.",1
"1088","EISENACHER STR.",9
"1089","EISENACHER STR. / GRUNEWALDSTR.",3
"1090","EISENACHER STR. / LUITPOLDSTR.",1
"1091","EISENACHER STR. / MOTZSTR.",1
"1092","EISENACHER STR. / WARTBURGSTR.",1
"1093","EISENBAHNSTR.",1
"1094","EISENHUTWEG",1
"1095","EISENZAHNSTR.",3
"1096","EISWALDTSTR.",1
"1097","EISWERDERBRÜCKE (WESTL.)",1
"1098","EITELSTR. / LUISE-ZIETZ-STR. / ALLEE DER KOSMONAUTEN",1
"1099","ELBERFELDER STR. / LEVETZOWSTR. / SOLINGER STR.",1
"1100","ELBESTR. / SONNENALLEE",1
"1101","ELBESTR. / WEIGANDUFER",1
"1102","ELBESTR. / WESERSTR.",1
"1103","ELCKNERPLATZ",2
"1104","ELGERSBURGER STR. / FORCKENBECKSTR. / HOHENZOLLERNDAMM",1
"1105","ELISABETHSTR.",1
"1106","ELISABETHSTR. / BLUMBERGER DAMM",1
"1107","ELISABETHSTR. / SCHÖNWALDER STR.",1
"1108","ELISABETHWEG / OSSIETZKYSTR.",1
"1109","ELLA-KAY-STR.",1
"1110","ELLEN-EPSTEIN-STR.",3
"1111","ELLERNWEG / STERNDAMM / WALDSTR.",1
"1112","ELSA-BRÄNDSTRÖM-STR.",1
"1113","ELSA-BRÄNDSTRÖM-STR. / NEUMANNSTR. (ENDE)",5
"1114","ELSA-BRÄNDSTRÖM-STR. / PRENZLAUER PROMENADE",2
"1115","ELSE-JAHN-STR.",1
"1116","ELSENSTR.",5
"1117","ELSENSTR. / ALT-STRALAU / MARKGRAFENDAMM / STRALAUER ALLEE",2
"1118","ELSENSTR. / AM TREPTOWER PARK",6
"1119","ELSENSTR. / AN DEN TREPTOWERS / MARTIN-HOFFMANN-STR.",2
"1120","ELSENSTR. / HARZER STR.",4
"1121","ELSENSTR. / HEIDELBERGER STR.",2
"1122","ELSENSTR. / KARL-KUNGER-STR.",2
"1123","ELSENSTR. / PUSCHKINALLEE",3
"1124","ELßHOLZSTR. / GRUNEWALDSTR.",2
"1125","ELßHOLZSTR. / PALLASSTR.",1
"1126","ELSTERSTR. / KRUMME STR. / WALTERSDORFER STR.",1
"1127","ELSTERSTR. / SCHULZENDORFER STR.",1
"1128","ELVIRASTEIG / KLOPSTOCKSTR.",1
"1129","EMANUELSTR. / LÜCKSTR.",1
"1130","EMDENER STR. / WICLEFSTR.",1
"1131","EMDENZEILE / SCHÖNWALDER STR.",1
"1132","EMMA-IHRER-STR. / HAUPTSTR.",1
"1133","EMMA-IHRER-STR. / HAUPTSTR. / SCHLICHTALLEE",2
"1134","EMMENTALER STR. / RESIDENZSTR.",2
"1135","EMMENTALER STR. / THURGAUER STR.",1
"1136","EMRICHSTR. / MÜGGELSEEDAMM",1
"1137","EMSER STR.",2
"1138","EMSER STR. / GÜNTZELSTR. / HOHENZOLLERNDAMM",1
"1139","EMSER STR. / HERMANNSTR.",2
"1140","EMSER STR. / KARL-MARX-STR. / SAALESTR.",1
"1141","EMSER STR. / LUDWIGKIRCHPLATZ",1
"1142","EMSER STR. / ODERSTR.",1
"1143","EMSER STR. / PARISER STR. / LUDWIGKIRCHPLATZ",1
"1144","ENGADINER WEG / GOERZALLEE / ORTLERWEG",1
"1145","ENGLERALLEE",1
"1146","ENGLERALLEE / PODBIELSKIALLEE",1
"1147","ENGLERALLEE / ROHLFSSTR. / GUSTAV-MAHLER-PLATZ",1
"1148","ENGLERALLEE / SCHORLEMERALLEE / SPILSTR.",1
"1149","EOSANDERSTR.",1
"1150","ERFURTER STR. / FRITZ-ELSAS-STR.",2
"1151","ERICH-BARON-WEG / HULTSCHINER DAMM",3
"1152","ERICH-WEINERT-STR.",2
"1153","ERICH-WEINERT-STR. / GREIFSWALDER STR. / THOMAS-MANN-STR.",2
"1154","ERICH-WEINERT-STR. / GUBITZSTR.",1
"1155","ERICH-WEINERT-STR. / HOSEMANNSTR.",1
"1156","ERICH-WEINERT-STR. / PRENZLAUER ALLEE",3
"1157","ERICH-WEINERT-STR. / SCHÖNHAUSER ALLEE / PAUL-ROBESON-STR.",2
"1158","ERICH-WEINERT-STR. / SODTKESTR.",1
"1159","ERICH-WEINERT-STR. / STAHLHEIMER STR.",1
"1160","ERKELENZDAMM / SKALITZER STR. / WASSERTORPLATZ",2
"1161","ERKSTR.",2
"1162","ERKSTR. / KARL-MARX-STR.",3
"1163","ERKSTR. / SONNENALLEE / WILDENBRUCHSTR.",6
"1164","ERLANGER STR. / FLUGHAFENSTR. / ISARSTR.",1
"1165","ERLANGER STR. / REUTERSTR.",1
"1166","ERLENSTR. / MÜGGELSCHLÖßCHENWEG",1
"1167","ERMANSTR. / FLEMMINGSTR.",1
"1168","ERNST-BARLACH-STR.",1
"1169","ERNST-BUMM-WEG / SOPHIE-CHARLOTTEN-STR.",1
"1170","ERNST-GRUBE-STR. / OBERSPREESTR. / OTTOMAR-GESCHKE-STR.",1
"1171","ERNST-LEMMER-RING",1
"1172","ERNST-RUSKA-UFER / HAVESTADTPLATZ",1
"1173","ERNST-RUSKA-UFER / NORTH-WILLYS-STR.",3
"1174","ERNST-RUSKA-UFER / WEGEDORNSTR. / TELTOWKANALBRÜCKE",4
"1175","ERNST-ZINNA-WEG / LANDSBERGER ALLEE",2
"1176","ESCHENALLEE / ULMENALLEE",1
"1177","ESCHERSHAUSER WEG / ONKEL-TOM-STR.",1
"1178","ESCHERSHEIMER STR.",3
"1179","ESCHERSHEIMER STR. / GOTTLIEB-DUNKEL-STR. / MARIENDORFER WEG",1
"1180","ESMARCHSTR.",1
"1181","ESPLANADE",2
"1182","ESSENER STR. / STROMSTR.",1
"1183","EWESTSTR.",1
"1184","EXERZIERSTR.",1
"1185","EXERZIERSTR. / GOTTSCHEDSTR.",1
"1186","FABECKSTR.",1
"1187","FALCKENSTEINSTR. / GÖRLITZER STR.",1
"1188","FALCKENSTEINSTR. / MAY-AYIM-UFER / OBERBAUMBRÜCKE (SPREE)",1
"1189","FALCKENSTEINSTR. / SCHLESISCHE STR.",2
"1190","FALKENBERGER CHAUSSEE",2
"1191","FALKENBERGER CHAUSSEE / FALKENBERGER BRÜCKE",1
"1192","FALKENBERGER CHAUSSEE / HANSASTR. / MALCHOWER WEG / DARßER STR.",1
"1193","FALKENBERGER CHAUSSEE / PRENDENER STR. / VINCENT-VAN-GOGH-STR.",1
"1194","FALKENBERGER CHAUSSEE / WUSTROWER STR.",1
"1195","FALKENBERGER STR. / BERLINER ALLEE",1
"1196","FALKENBERGER STR. / PIESPORTER STR.",1
"1197","FALKENSEER CHAUSSEE",5
"1198","FALKENSEER CHAUSSEE / FRANKENWALDSTR. / MÜLHEIMER STR.",2
"1199","FALKENSEER CHAUSSEE / GERMERSHEIMER WEG",1
"1200","FALKENSEER CHAUSSEE / HOHENZOLLERNRING",1
"1201","FALKENSEER CHAUSSEE / STADTRANDSTR.",1
"1202","FALKENSEER CHAUSSEE / STEIGERWALDSTR.",1
"1203","FALKENSEER CHAUSSEE / WASSERWERKSTR. / AM KIESTEICH",2
"1204","FALKENSEER CHAUSSEE / ZEPPELINSTR.",1
"1205","FALKENTALER STEIG / HEINSESTR. / HERMSDORFER DAMM",1
"1206","FANNINGERSTR. / SIEGFRIEDSTR.",1
"1207","FASANENSTR.",1
"1208","FASANENSTR. / HARDENBERGSTR.",2
"1209","FASANENSTR. / HOHENZOLLERNDAMM / NIKOLSBURGER STR.",2
"1210","FASANENSTR. / KURFÜRSTENDAMM",4
"1211","FASANENSTR. / LIETZENBURGER STR.",2
"1212","FASANENSTR. / PARISER STR.",1
"1213","FAUCHERWEG / GARTENFELDER STR.",1
"1214","FECHNERSTR.",1
"1215","FEHRBELLINER STR. / KASTANIENALLEE / WEINBERGSWEG",3
"1216","FEHRBELLINER STR. / SCHÖNHAUSER ALLEE",2
"1217","FEHRBELLINER STR. / VETERANENSTR.",2
"1218","FEILNERSTR. / LINDENSTR.",1
"1219","FELDSTR. / NEUENDORFER STR. / SCHÖNWALDER STR.",1
"1220","FELDTMANNSTR. / PIESPORTER STR.",1
"1221","FELLBACHER STR.",1
"1222","FELLBACHER STR. / HEINSESTR. / FELLBACHER PLATZ",1
"1223","FENCHELWEG / JOHANNISTHALER CHAUSSEE",1
"1224","FENCHELWEG / SEIDELBASTWEG",1
"1225","FENNSTR.",7
"1226","FENNSTR. / MÜLLERSTR.",8
"1227","FENNSTR. / REINICKENDORFER STR. / SCHÖNWALDER STR.",3
"1228","FENNSTR. / SCHNELLERSTR.",1
"1229","FENNSTR. / TEGELER STR.",7
"1230","FERDINAND-SCHULTZE-STR. / STRAßE 109",1
"1231","FERDINANDSTR. / JÄGERSTR.",1
"1232","FERDINANDSTR. / KIESSTR. / LANGE STR. / SONNEBERGER WEG",1
"1233","FERDINANDSTR. / LANKWITZER STR. / KRANOLDPLATZ",1
"1234","FEUERBACHSTR. / KÖRNERSTR. / LAUENBURGER STR. / SCHÖNHAUSER STR.",2
"1235","FEURIGSTR.",2
"1236","FH LICHTENBERGER STR. / SINGERSTR.",1
"1237","FH OTTO-BRAUN-STR. / BARNIMSTR.",1
"1238","FICHTESTR. / GRIMMSTR. / KÖRTESTR. / URBANSTR. / GRIMMPARK",3
"1239","FIDICINSTR. / MEHRINGDAMM",2
"1240","FILANDASTR. / SÜDENDSTR.",1
"1241","FINCKENSTEINALLEE",3
"1242","FINCKENSTEINALLEE / KARWENDELSTR.",2
"1243","FINCKENSTEINALLEE / THEKLASTR.",1
"1244","FINKENKRUGER WEG",1
"1245","FINKENKRUGER WEG / TORWEG",1
"1246","FINOWSTR. / ODERSTR.",1
"1247","FINOWSTR. / SCHARNWEBERSTR.",1
"1248","FINSTERWALDER STR.",1
"1249","FIRLSTR. / LAUFFENER STR. / WILHELMINENHOFSTR.",1
"1250","FISCHERHÜTTENSTR. / POTSDAMER STR.",1
"1251","FISCHERINSEL",2
"1252","FISCHERSTR. / SCHLICHTALLEE",2
"1253","FLÄMINGSTR. / EICHHORSTER STR. / HAVEMANNSTR.",1
"1254","FLATOWER STR.",1
"1255","FLEMMINGSTR. / GRITZNERSTR.",2
"1256","FLEMMINGSTR. / LEPSIUSSTR. / ZIMMERMANNSTR.",1
"1257","FLENSBURGER STR. / LESSINGSTR.",4
"1258","FLORASTR.",2
"1259","FLORASTR. / GAILLARDSTR.",1
"1260","FLORASTR. / HEYNSTR. / NEUE SCHÖNHOLZER STR.",1
"1261","FLORASTR. / MÜHLENSTR.",2
"1262","FLOTOWSTR. / HINDENBURGDAMM / ROONSTR.",1
"1263","FLOTTWELLSTR.",1
"1264","FLUGHAFENSTR.",6
"1265","FLUGHAFENSTR. / FULDASTR. / KARL-MARX-STR.",4
"1266","FLUGHAFENSTR. / HERMANNSTR. / U-BHF. BODDINSTR.",2
"1267","FLUGHAFENSTR. / MAINZER STR.",1
"1268","FÖHRER STR. / NORDUFER / FÖHRER BRÜCKE",3
"1269","FÖLDERICHSTR.",1
"1270","FÖLDERICHSTR. / WEIßENBURGER STR.",1
"1271","FONTANEPROMENADE / FREILIGRATHSTR.",1
"1272","FONTANESTR. / HAGENSTR. / KOENIGSALLEE",2
"1273","FONTANESTR. / MAHLOWER STR.",1
"1274","FORCKENBECKSTR.",3
"1275","FORCKENBECKSTR. / MECKLENBURGISCHE STR.",1
"1276","FORDDAMM",1
"1277","FORSTER STR. / WIENER STR.",2
"1278","FRAENKELUFER / KOHLFURTER STR. / KOTTBUSSER STR. / MARIANNENSTR. / PAUL-LINCKE-U",3
"1279","FRANKENHAUSER STR. / TRIPPSTEINSTR.",1
"1280","FRANKFURTER ALLEE",21
"1281","FRANKFURTER ALLEE / FRANKFURTER ALLEE",1
"1282","FRANKFURTER ALLEE / GÜRTELSTR. / MÖLLENDORFFSTR.",7
"1283","FRANKFURTER ALLEE / HUBERTUSSTR.",2
"1284","FRANKFURTER ALLEE / JESSNERSTR. / PETTENKOFERSTR.",7
"1285","FRANKFURTER ALLEE / JUNGSTR. / VOIGTSTR.",5
"1286","FRANKFURTER ALLEE / KINZIGSTR.",2
"1287","FRANKFURTER ALLEE / MAGDALENENSTR.",4
"1288","FRANKFURTER ALLEE / MAINZER STR.",3
"1289","FRANKFURTER ALLEE / NIEDERBARNIMSTR. / PROSKAUER STR.",5
"1290","FRANKFURTER ALLEE / ROSENFELDER STR. / ALT-FRIEDRICHSFELDE",1
"1291","FRANKFURTER ALLEE / RUSCHESTR. / SCHULZE-BOYSEN-STR.",1
"1292","FRANKFURTER ALLEE / SAMARITERSTR.",2
"1293","FRANKFURTER ALLEE / SIEGFRIEDSTR.",1
"1294","FRANKFURTER TOR / FRANKFURTER TOR",13
"1295","FRANKLINSTR.",4
"1296","FRANKLINSTR. / HELMHOLTZSTR. / GOTZKOWSKYBRÜCKE",2
"1297","FRANKLINSTR. / SALZUFER / MARCHBRÜCKE",1
"1298","FRANZ-EHRLICH-STR. / WAGNER-RÉGENY-STR. / RUDOWER CHAUSSEE",3
"1299","FRANZ-JACOB-STR.",1
"1300","FRANZ-JACOB-STR. / KARL-LADE-STR.",1
"1301","FRANZ-KLÜHS-STR.",1
"1302","FRANZ-KÜNSTLER-STR.",1
"1303","FRANZ-METT-STR.",1
"1304","FRANZÖSISCHE STR.",4
"1305","FRANZÖSISCHE STR. / GLINKASTR.",3
"1306","FRANZÖSISCHE STR. / HINTER DER KATHOLISCHEN KIRCHE",1
"1307","FRANZ-STENZER-STR.",2
"1308","FREDERICIASTR.",1
"1309","FREDERICIASTR. / KÖNIGIN-ELISABETH-STR.",2
"1310","FREDERSDORFER STR. / RÜDERSDORFER STR.",1
"1311","FREGESTR.",1
"1312","FREGESTR. / HAUPTSTR. / STIERSTR.",1
"1313","FREIBERGSTR. / KÖRTINGSTR. / KGA GERDSMEYER",1
"1314","FREIERTWEG / LICHTENRADER DAMM",1
"1315","FREIHEIT",2
"1316","FREIHERR-VOM-STEIN-STR.",1
"1317","FREILIGRATHSTR. / KÖRTESTR.",1
"1318","FREUDENBERGER WEG",1
"1319","FREYSTADTER WEG / OBERSPREESTR.",1
"1320","FRIDOLINWEG / CECILIENSTR.",1
"1321","FRIEDBERGSTR.",1
"1322","FRIEDELSTR. / SANDERSTR.",1
"1323","FRIEDELSTR. / SONNENALLEE",1
"1324","FRIEDELSTR. / WESERSTR.",2
"1325","FRIEDENSTR.",2
"1326","FRIEDENSTR. / KÖNIGSTR.",2
"1327","FRIEDENSTR. / PLATZ DER VEREINTEN NATIONEN",3
"1328","FRIEDENSTR. / PLATZ DER VEREINTEN NATIONEN / LANDSBERGER ALLEE",2
"1329","FRIEDENSTR. / REIßECKSTR. / MARIENDORFER DAMM",1
"1330","FRIEDENSTR. / STRAßE DER PARISER KOMMUNE / PALISADENSTR. / WEIDENWEG",4
"1331","FRIEDLANDER STR. / OBERSPREESTR.",1
"1332","FRIEDRICH-ENGELS-STR.",1
"1333","FRIEDRICH-ENGELS-STR. / KUCKHOFFSTR.",1
"1334","FRIEDRICH-ENGELS-STR. / NORDENDSTR.",1
"1335","FRIEDRICH-ENGELS-STR. / PLATANENSTR.",1
"1336","FRIEDRICH-ENGELS-STR. / UHLANDSTR.",1
"1337","FRIEDRICH-FRANZ-STR. / FRIEDRICH-KARL-STR. / OTTOKARSTR.",1
"1338","FRIEDRICH-FRANZ-STR. / KAISERIN-AUGUSTA-STR.",1
"1339","FRIEDRICH-KARL-STR. / KONRADINSTR. (ENDE)",1
"1340","FRIEDRICH-KARL-STR. / ORDENSMEISTERSTR. / TEMPELHOFER DAMM",1
"1341","FRIEDRICH-KARL-STR. / WERDERSTR.",1
"1342","FRIEDRICH-KRAUSE-UFER",1
"1343","FRIEDRICH-KRAUSE-UFER / HEIDESTR. / PERLEBERGER STR.",2
"1344","FRIEDRICH-LIST-UFER / HEIDESTR. / INVALIDENSTR.",2
"1345","FRIEDRICHRODAER STR. / MALTESERSTR.",1
"1346","FRIEDRICHSBERGER STR. / LEBUSER STR. / PALISADENSTR.",1
"1347","FRIEDRICHSHAGENER STR.",1
"1348","FRIEDRICHSHAGENER STR. / PUCHANSTR. (ENDE)",1
"1349","FRIEDRICHSHALLER STR. / MECKLENBURGISCHE STR.",1
"1350","FRIEDRICH-STAMPFER-STR. / STRESEMANNSTR. / WILHELMSTR.",3
"1351","FRIEDRICHSTR.",16
"1352","FRIEDRICHSTR. / BEHRENSTR.",6
"1353","FRIEDRICHSTR. / CLAIRE-WALDOFF-STR.",1
"1354","FRIEDRICHSTR. / FRANZÖSISCHE STR.",2
"1355","FRIEDRICHSTR. / GEORGENSTR.",1
"1356","FRIEDRICHSTR. / KRAUSENSTR.",1
"1357","FRIEDRICHSTR. / KRONENSTR.",2
"1358","FRIEDRICHSTR. / LEIPZIGER STR.",1
"1359","FRIEDRICHSTR. / MITTELSTR.",1
"1360","FRIEDRICHSTR. / MOHRENSTR.",1
"1361","FRIEDRICHSTR. / ORANIENBURGER STR.",2
"1362","FRIEDRICHSTR. / REICHSTAGUFER / AM WEIDENDAMM / WEIDENDAMMER BRÜCKE (SPREE)",1
"1363","FRIEDRICHSTR. / REINHARDTSTR.",5
"1364","FRIEDRICHSTR. / SCHÜTZENSTR.",1
"1365","FRIEDRICHSTR. / TAUBENSTR.",1
"1366","FRIEDRICHSTR. / UNTER DEN LINDEN",1
"1367","FRIEDRICHSTR. / ZIEGELSTR.",2
"1368","FRIEDRICHSTR. / ZIMMERSTR.",4
"1369","FRIESENSTR.",2
"1370","FRIESICKESTR.",1
"1371","FRITZ-ELSAS-STR.",3
"1372","FRITZ-ELSAS-STR. / HEWALDSTR.",1
"1373","FRITZ-ELSAS-STR. / MARTIN-LUTHER-STR.",2
"1374","FRITZ-ERLER-ALLEE",2
"1375","FRITZ-ERLER-ALLEE / GRÜNER WEG / GUTSCHMIDTSTR. / KOLIBRIWEG",1
"1376","FRITZ-ERLER-ALLEE / LIPSCHITZALLEE",1
"1377","FRITZ-ERLER-ALLEE / WILDMEISTERDAMM",1
"1378","FRITZ-ERLER-ALLEE / ZADEKSTR.",1
"1379","FRITZ-KIRSCH-ZEILE / WATTSTR.",1
"1380","FRITZ-KÖNIG-WEG / SCHWARZER WEG",1
