"","street1","accidents","lon","lat"
"164","AM BAHNDAMM",1,13.5760677,52.4596538
"165","AM BAHNHOF SPANDAU",1,13.1949397,52.5346745
"166","AM BÄKEQUELL / SCHLOßSTR.",1,13.3164221,52.4536974
"167","AM BERLIN MUSEUM / LINDENSTR. / MARKGRAFENSTR.",1,13.395231,52.5032301
"168","AM CARLSGARTEN",1,13.5306746,52.4784261
"169","AM CONTAINERBAHNHOF / MÖLLENDORFFSTR.",2,13.4778577,52.5145637
"170","AM DONNERBERG",1,13.1313522,52.4688993
"171","AMENDESTR.",2,13.3694035,52.5687659
"172","AMENDESTR. / RESIDENZSTR.",2,13.3624341,52.5672577
"173","AM ERLENBUSCH / BUGGESTR. / ENGLERALLEE / ERLENBUSCHPARK",1,13.3039473,52.4640396
"174","AM FAULEN SEE / TAMSELER STR.",1,13.4971181,52.5548263
"175","AM FISCHTAL / RIEMEISTERSTR.",1,13.2582978,52.4465304
"176","AM FRIEDRICHSHAIN / FRIEDENSTR.",1,13.425118,52.5280954
"177","AM GEWERBEPARK / BLUMBERGER DAMM",1,13.5647992,52.5223157
"178","AM GOLDMANNPARK / BÖLSCHESTR. / SCHMALER WEG",1,13.6252548,52.4557567
"179","AM GROßEN WANNSEE",1,13.1630145,52.4283858
"180","AM HEGEWINKEL / AM WIESELBAU",1,13.2536337,52.4531763
"181","AM HEIDEBERG / TORWEG",1,13.1472645,52.5396812
"182","AM JULIUSTURM",3,13.2173285,52.5378202
"183","AM JULIUSTURM / BEHNITZ / BREITE STR.",1,13.2077563,52.5388442
"184","AM JULIUSTURM / CARL-SCHURZ-STR. / HAVELSTR. / HOHER STEINWEG",2,13.2055003,52.5394972
"185","AM JULIUSTURM / DAUMSTR. / NONNENDAMMALLEE / FERDINAND-FRIEDENSBURG-PLATZ",1,13.2319089,52.5392353
"186","AM JULIUSTURM / ZITADELLENWEG",1,13.2171962,52.5377061
"187","AM JULIUSTURM / ZITADELLENWEG / AN DER SPREESCHANZE",1,13.2171962,52.5377061
"188","AM KAHLSCHLAG / SIGISMUNDKORSO",1,13.2746191,52.6304526
"189","AM KARLSBAD",2,13.3705456,52.5042557
"190","AM KIESBERG / WEGEDORNSTR.",1,13.5250901,52.4199357
"191","AM KIESTEICH",2,13.1621567,52.5470238
"192","AM KLEINEN WANNSEE",1,13.1599768,52.4174519
"193","AM KÖLLNISCHEN PARK",1,13.415594,52.5127637
"194","AM KORNFELD / WILHELMSMÜHLENWEG",1,13.6025488,52.5103062
"195","AM KRUSENICK / FRIEDRICHSHAGENER STR.",1,13.583595,52.4517117
"196","AM KUPFERGRABEN",3,13.3947453,52.5208183
"197","AM KUPFERGRABEN / BAUHOFSTR.",1,13.3956952,52.5201412
"198","AM LEHNSHOF / BERLINER STR.",1,13.3162252,52.6138896
"199","AM LOKDEPOT",1,13.3734322,52.4866817
"200","AM LUCHGRABEN",1,13.5044971,52.596324
"201","AM LUSTGARTEN / KARL-LIEBKNECHT-STR. / LUSTGARTEN",2,13.3992026,52.5186823
"202","AM NIEDERFELD / CHEMNITZER STR.",1,13.5809264,52.5031988
"203","AM NORDBAHNHOF",1,13.3848259,52.5316311
"204","AM NORDGRABEN",1,13.317216,52.5882032
"205","AM NORDHAFEN / FENNSTR.",1,13.3627292,52.5383918
"206","AM OMNIBUSHOF / WILHELMSTR.",1,13.1828623,52.5184977
"207","AM OSTBAHNHOF / ANDREASSTR.",1,13.4305345,52.5111602
"208","AM OSTBAHNHOF / KOPPENSTR.",1,13.4320016,52.5105201
"209","AM POSTBAHNHOF / MÜHLENSTR.",3,13.4355115,52.5081227
"210","AM ROSENHAG / FLORASTR.",1,13.6263839,52.5242552
"211","AM RUDOLFPLATZ",1,13.4557079,52.5026494
"212","AMRUMER STR. / FÖHRER STR. / LUXEMBURGER STR. / TORFSTR.",5,13.3494918,52.5422751
"213","AMRUMER STR. / OSTENDER STR.",1,13.3474028,52.543832
"214","AM SCHILLERTHEATER / BISMARCKSTR. / MARIE-ELISABETH-LÜDERS-STR.",4,13.3170333,52.512375
"215","AM SCHLACHTENSEE",1,13.2143391,52.4401076
"216","AM SCHLACHTENSEE / ELVIRASTEIG / GOETHESTR.",1,13.226798,52.4396762
"217","AM SCHLOßPARK",1,13.4113566,52.576671
"218","AM SCHLOßPARK / KAVALIERSTR.",1,13.4094184,52.5751492
"219","AM STADTPARK / SCHEFFELSTR. / ALFRED-JUNG-STR.",1,13.47934,52.52006
"220","AM STEINBERG",1,13.4379335,52.5598207
"221","AM STEINBERG / HEINERSDORFER STR.",1,13.4334973,52.5578841
"222","AMSTERDAMER STR. / BRÜSSELER STR. / MÜLLERSTR.",1,13.353939,52.5493102
"223","AM STUDIO / KÖPENICKER STR.",2,13.5465382,52.4263373
"224","AM STUDIO / RUDOWER CHAUSSEE",1,13.5362115,52.4330286
"225","AM THEODORPARK / ARTURWEG / ELLAWEG",1,13.6177291,52.5019716
"226","AM TIERPARK",1,13.5205675,52.5023173
"227","AM TIERPARK / ALFRED-KOWALKE-STR.",1,13.516557,52.5054604
"228","AM TIERPARK / ERICH-KURZ-STR.",1,13.5169871,52.4991622
"229","AM TIERPARK / RHINSTR. / ALT-FRIEDRICHSFELDE",1,13.5187788,52.5096684
"230","AM TIERPARK / SEWANSTR.",2,13.5234282,52.4956198
"231","AM TREPTOWER PARK / BULGARISCHE STR. / KÖPENICKER LANDSTR.",1,13.4735317,52.4816743
"232","AM TREPTOWER PARK / KARPFENTEICHSTR. / TREPTOWER PARK",1,13.4686595,52.4842544
"233","AM TREPTOWER PARK / PUDERSTR. / TREPTOWER PARK",1,13.4651472,52.4866268
"234","AM TREPTOWER PARK / RETHELSTR.",2,13.4670941,52.4853133
"235","AMTSSTR.",1,13.5801208,52.4446377
"236","AM WALDFRIEDHOF / ARGENTINISCHE ALLEE / WALTRAUDSTR.",2,13.2625956,52.4515322
"237","AM WASSERWERK",1,13.497196,52.5303078
"238","AM WASSERWERK / HERZBERGSTR.",1,13.4961905,52.5264496
"239","AM WILDGATTER",1,13.136989,52.4150774
"240","AM WRIEZENER BAHNHOF",1,13.4414431,52.5110751
"241","AM WRIEZENER BAHNHOF / STRAßE DER PARISER KOMMUNE",1,13.4387854,52.5126275
"242","AN DEN TREPTOWERS",2,13.461524,52.4947224
"243","AN DEN TREPTOWERS / ELSENBRÜCKE (SPREE)",1,13.4626145,52.4954309
"244","AN DER KAPPE",1,13.1796055,52.5407068
"245","ANDERNACHER STR.",1,13.5306154,52.4816223
"246","AN DER OSTBAHN / ERICH-STEINFURTH-STR. / STRAßE DER PARISER KOMMUNE",1,13.4424056,52.50848
"247","AN DER PUTLITZBRÜCKE / WESTHAFENSTR.",1,13.3442357,52.5380177
"248","AN DER URANIA",3,13.3480353,52.5022927
"249","AN DER URANIA / KLEISTSTR. / LIETZENBURGER STR. / MARTIN-LUTHER-STR.",7,13.3467334,52.5015453
"250","AN DER URANIA / KURFÜRSTENSTR. / SCHILLSTR.",3,13.3489956,52.5029044
"251","AN DER WUHLE / LINDENSTR.",1,13.565372,52.4851776
"252","AN DER WUHLHEIDE",5,13.5360626,52.4603315
"253","AN DER WUHLHEIDE / EDISONSTR. / ROEDERNSTR. / RUMMELSBURGER STR. / TRESKOWALLEE",4,13.5145477,52.4688704
"254","AN DER WUHLHEIDE / FONTANESTR.",1,13.517696,52.4674154
"255","AN DER WUHLHEIDE / LINDENSTR.",1,13.5669363,52.4552326
"256","AN DER WUHLHEIDE / TRESKOWSTR.",1,13.5347212,52.4607271
"257","ANDREASSTR.",4,13.4316687,52.5143355
"258","ANDREASSTR. / HOLZMARKTSTR. / STRALAUER PLATZ / AN DER SCHILLINGBRÜCKE",6,13.4302461,52.5104863
"259","ANDREASSTR. / KARL-MARX-ALLEE / LEBUSER STR.",2,13.4329299,52.517877
"260","ANDREASSTR. / LANGE STR.",1,13.4311204,52.5128017
"261","ANDREASSTR. / SINGERSTR.",1,13.4319697,52.5151469
"262","ANDRÉEZEILE / TELTOWER DAMM",1,13.2671097,52.4104531
"263","ANGERMÜNDER STR.",1,13.4123913,52.407634
"264","ANGERWEG / FRIEDRICH-ENGELS-STR. / KASTANIENALLEE (ENDE)",2,13.3848955,52.5911815
"265","ANHALTER STR. / ASKANISCHER PLATZ / STRESEMANNSTR.",3,13.3833424,52.5036183
"266","ANKLAMER STR. / ZIONSKIRCHSTR.",1,13.4002725,52.5358585
"267","ANKOGELWEG / MARIENDORFER DAMM",2,13.3984741,52.4195518
"268","ANNA-LOUISA-KARSCH-STR.",2,13.4028437,52.5213794
"269","ANNA-LOUISA-KARSCH-STR. / AN DER SPANDAUER BRÜCKE / ROCHSTR.",3,13.4045286,52.5219734
"270","ANNA-LOUISA-KARSCH-STR. / SPANDAUER STR.",4,13.4028437,52.5213794
"271","ANNA-NEMITZ-BRÜCKE / NEUE SPÄTHSTR. / A 113 BAB AUTOBAHNZUBRINGER DRESDEN / 113",1,13.4605409,52.4541981
"272","ANNENSTR.",3,13.4127478,52.5087698
"273","ANNENSTR. / HEINRICH-HEINE-STR.",3,13.4141045,52.507957
"274","ANSBACHER STR.",1,13.3407494,52.4995398
"275","ANSBACHER STR. / MOTZSTR.",1,13.3385977,52.4946976
"276","ANSELMSTR. / KÖPENICKER STR.",1,13.5593678,52.4759946
"277","ANTONSTR. / MÜLLERSTR.",1,13.360794,52.5453613
"278","ANTWERPENER STR. / BRÜSSELER STR.",1,13.3507745,52.5473333
"279","ANTWERPENER STR. / SEESTR. / TOGOSTR.",1,13.3488274,52.5486032
